'2020-01-06 23:51:01,352 - serial - INFO - DHTxx test!'
'2020-01-06 23:51:03,449 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:05,489 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:07,533 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:09,577 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:11,620 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:13,660 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:15,704 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:17,748 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:19,791 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:21,831 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:23,875 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:25,919 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:27,958 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:30,002 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:32,046 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:34,090 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:36,130 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
'2020-01-06 23:51:38,173 - serial - INFO - Humidity: 58.00%  Temperature: 19.50°C 67.10°F  Heat index: 19.02°C 66.24°F'
'2020-01-06 23:51:40,217 - serial - INFO - Humidity: 58.00%  Temperature: 19.40°C 66.92°F  Heat index: 18.91°C 66.04°F'
2020-01-07 00:12:16,669 - serial - INFO - DHTxx test!
